월,연도,원인,건수
1,2006,입산자실화,23
1,2006,논밭두렁등소각,3
1,2006,쓰레기소각,3
1,2006,담뱃불실화,4
1,2006,성묘객실화,1
1,2006,어린이불장난,2
1,2006,건축물화재,1
1,2006,기타,11
1,2007,입산자실화,24
1,2007,논밭두렁등소각,9
1,2007,쓰레기소각,3
1,2007,담뱃불실화,11
1,2007,성묘객실화,3
1,2007,어린이불장난,0
1,2007,건축물화재,0
1,2007,기타,11
1,2008,입산자실화,3
1,2008,논밭두렁등소각,1
1,2008,쓰레기소각,0
1,2008,담뱃불실화,2
1,2008,성묘객실화,0
1,2008,어린이불장난,0
1,2008,건축물화재,1
1,2008,기타,0
1,2009,입산자실화,26
1,2009,논밭두렁등소각,6
1,2009,쓰레기소각,8
1,2009,담뱃불실화,6
1,2009,성묘객실화,4
1,2009,어린이불장난,1
1,2009,건축물화재,4
1,2009,기타,9
1,2010,입산자실화,11
1,2010,논밭두렁등소각,0
1,2010,쓰레기소각,2
1,2010,담뱃불실화,3
1,2010,성묘객실화,4
1,2010,어린이불장난,0
1,2010,건축물화재,1
1,2010,기타,3
1,2011,입산자실화,19
1,2011,논밭두렁등소각,4
1,2011,쓰레기소각,2
1,2011,담뱃불실화,1
1,2011,성묘객실화,0
1,2011,어린이불장난,0
1,2011,건축물화재,3
1,2011,기타,4
1,2012,입산자실화,4
1,2012,논밭두렁등소각,0
1,2012,쓰레기소각,0
1,2012,담뱃불실화,0
1,2012,성묘객실화,0
1,2012,어린이불장난,0
1,2012,건축물화재,1
1,2012,기타,1
1,2013,입산자실화,0
1,2013,논밭두렁등소각,2
1,2013,쓰레기소각,1
1,2013,담뱃불실화,1
1,2013,성묘객실화,0
1,2013,어린이불장난,0
1,2013,건축물화재,1
1,2013,기타,2
1,2014,입산자실화,12
1,2014,논밭두렁등소각,8
1,2014,쓰레기소각,9
1,2014,담뱃불실화,4
1,2014,성묘객실화,5
1,2014,어린이불장난,0
1,2014,건축물화재,0
1,2014,기타,11
1,2015,입산자실화,8
1,2015,논밭두렁등소각,1
1,2015,쓰레기소각,0
1,2015,담뱃불실화,0
1,2015,성묘객실화,0
1,2015,어린이불장난,0
1,2015,건축물화재,0
1,2015,기타,7
1,2016,입산자실화,9
1,2016,논밭두렁등소각,4
1,2016,쓰레기소각,11
1,2016,담뱃불실화,1
1,2016,성묘객실화,0
1,2016,어린이불장난,1
1,2016,건축물화재,5
1,2016,기타,5
1,2017,입산자실화,6
1,2017,논밭두렁등소각,2
1,2017,쓰레기소각,6
1,2017,담뱃불실화,0
1,2017,성묘객실화,0
1,2017,어린이불장난,0
1,2017,건축물화재,1
1,2017,기타,6
1,2018,입산자실화,9
1,2018,논밭두렁등소각,4
1,2018,쓰레기소각,3
1,2018,담뱃불실화,2
1,2018,성묘객실화,0
1,2018,어린이불장난,0
1,2018,건축물화재,5
1,2018,기타,6
1,2019,입산자실화,16
1,2019,논밭두렁등소각,6
1,2019,쓰레기소각,16
1,2019,담뱃불실화,5
1,2019,성묘객실화,4
1,2019,어린이불장난,1
1,2019,건축물화재,7
1,2019,기타,51
1,2020,입산자실화,8
1,2020,논밭두렁등소각,1
1,2020,쓰레기소각,4
1,2020,담뱃불실화,5
1,2020,성묘객실화,0
1,2020,어린이불장난,0
1,2020,건축물화재,2
1,2020,기타,9
1,2021,입산자실화,14
1,2021,논밭두렁등소각,0
1,2021,쓰레기소각,2
1,2021,담뱃불실화,6
1,2021,성묘객실화,0
1,2021,어린이불장난,0
1,2021,건축물화재,2
1,2021,기타,20
1,2022,입산자실화,26
1,2022,논밭두렁등소각,3
1,2022,쓰레기소각,10
1,2022,담뱃불실화,5
1,2022,성묘객실화,2
1,2022,건축물화재,6
1,2022,기타,36
1,2023,입산자실화,10
1,2023,논밭두렁등소각,3
1,2023,쓰레기소각,3
1,2023,담뱃불실화,1
1,2023,성묘객실화,2
1,2023,어린이불장난,0
1,2023,건축물화재,2
1,2023,기타,17
1,2024,입산자실화,3
1,2024,논밭두렁등소각,1
1,2024,쓰레기소각,1
1,2024,담뱃불실화,2
1,2024,성묘객실화,0
1,2024,어린이불장난,0
1,2024,건축물화재,2
1,2024,기타,9
1,2025,입산자실화,7
1,2025,논밭두렁등소각,5
1,2025,쓰레기소각,7
1,2025,담뱃불실화,5
1,2025,성묘객실화,2
1,2025,어린이불장난,0
1,2025,건축물화재,5
1,2025,기타,13
2,2006,입산자실화,15
2,2006,논밭두렁등소각,15
2,2006,쓰레기소각,2
2,2006,담뱃불실화,4
2,2006,성묘객실화,0
2,2006,어린이불장난,3
2,2006,건축물화재,0
2,2006,기타,2
2,2007,입산자실화,48
2,2007,논밭두렁등소각,32
2,2007,쓰레기소각,7
2,2007,담뱃불실화,10
2,2007,성묘객실화,7
2,2007,어린이불장난,5
2,2007,건축물화재,1
2,2007,기타,12
2,2008,입산자실화,5
2,2008,논밭두렁등소각,8
2,2008,쓰레기소각,8
2,2008,담뱃불실화,24
2,2008,성묘객실화,9
2,2008,어린이불장난,1
2,2008,건축물화재,2
2,2008,기타,13
2,2009,입산자실화,7
2,2009,논밭두렁등소각,9
2,2009,쓰레기소각,3
2,2009,담뱃불실화,1
2,2009,성묘객실화,1
2,2009,어린이불장난,2
2,2009,건축물화재,3
2,2009,기타,6
2,2010,입산자실화,6
2,2010,논밭두렁등소각,6
2,2010,쓰레기소각,7
2,2010,담뱃불실화,4
2,2010,성묘객실화,0
2,2010,어린이불장난,0
2,2010,건축물화재,3
2,2010,기타,4
2,2011,입산자실화,16
2,2011,논밭두렁등소각,9
2,2011,쓰레기소각,5
2,2011,담뱃불실화,1
2,2011,성묘객실화,5
2,2011,어린이불장난,1
2,2011,건축물화재,2
2,2011,기타,1
2,2012,입산자실화,3
2,2012,논밭두렁등소각,3
2,2012,쓰레기소각,0
2,2012,담뱃불실화,0
2,2012,성묘객실화,2
2,2012,어린이불장난,0
2,2012,건축물화재,1
2,2012,기타,0
2,2013,입산자실화,2
2,2013,논밭두렁등소각,14
2,2013,쓰레기소각,3
2,2013,담뱃불실화,1
2,2013,성묘객실화,0
2,2013,어린이불장난,2
2,2013,건축물화재,1
2,2013,기타,7
2,2014,입산자실화,14
2,2014,논밭두렁등소각,19
2,2014,쓰레기소각,7
2,2014,담뱃불실화,2
2,2014,성묘객실화,2
2,2014,어린이불장난,2
2,2014,건축물화재,3
2,2014,기타,5
2,2015,입산자실화,10
2,2015,논밭두렁등소각,7
2,2015,쓰레기소각,4
2,2015,담뱃불실화,0
2,2015,성묘객실화,2
2,2015,어린이불장난,2
2,2015,건축물화재,1
2,2015,기타,14
2,2016,입산자실화,11
2,2016,논밭두렁등소각,9
2,2016,쓰레기소각,19
2,2016,담뱃불실화,3
2,2016,성묘객실화,3
2,2016,어린이불장난,0
2,2016,건축물화재,1
2,2016,기타,16
2,2017,입산자실화,17
2,2017,논밭두렁등소각,7
2,2017,쓰레기소각,12
2,2017,담뱃불실화,1
2,2017,성묘객실화,2
2,2017,어린이불장난,1
2,2017,건축물화재,2
2,2017,기타,14
2,2018,입산자실화,38
2,2018,논밭두렁등소각,14
2,2018,쓰레기소각,16
2,2018,담뱃불실화,5
2,2018,성묘객실화,11
2,2018,어린이불장난,1
2,2018,건축물화재,13
2,2018,기타,32
2,2019,입산자실화,13
2,2019,논밭두렁등소각,12
2,2019,쓰레기소각,5
2,2019,담뱃불실화,4
2,2019,성묘객실화,3
2,2019,어린이불장난,0
2,2019,건축물화재,13
2,2019,기타,11
2,2020,입산자실화,11
2,2020,논밭두렁등소각,6
2,2020,쓰레기소각,4
2,2020,담뱃불실화,6
2,2020,성묘객실화,1
2,2020,어린이불장난,1
2,2020,건축물화재,6
2,2020,기타,7
2,2021,입산자실화,22
2,2021,논밭두렁등소각,7
2,2021,쓰레기소각,9
2,2021,담뱃불실화,9
2,2021,성묘객실화,8
2,2021,어린이불장난,1
2,2021,건축물화재,6
2,2021,기타,20
2,2022,입산자실화,43
2,2022,논밭두렁등소각,13
2,2022,쓰레기소각,11
2,2022,담뱃불실화,7
2,2022,성묘객실화,5
2,2022,건축물화재,12
2,2022,기타,52
2,2023,입산자실화,21
